py_entry_time,py_entry_price,py_exit_time,py_exit_price,py_side,py_result,py_exit_reason,py_mae,py_mfe,py_ib_range,py_tie_break,py_realized_r,py_date,py_play,py_avwap_source,py_break_vs_avwap_0930,py_trend_misaligned,py_entry_dt,nt8_side,nt8_entry_time,nt8_entry_price,nt8_exit_time,nt8_exit_price,nt8_pnl,nt8_exit_reason,nt8_entry_dt,nt8_date,nt8_dt_diff,entry_time_diff_s,entry_price_diff,exit_price_diff,result_match
2026-03-19 10:00:00-04:00,24822.25,2026-03-19 15:05:00-04:00,24911.25,LONG,1,target,151.75,89.0,194.5,False,1.0,2026-03-19,1,parquet,-1.0,1,2026-03-19 10:00:00-04:00,LONG,2026-03-19T10:02:00,24528.25,2026-03-19T15:07:00,24618.5,1805.0,Profit target,2026-03-19 06:02:00-04:00,2026-03-19,14280.0,14280.0,294.0,292.75,True
2026-03-23 10:02:00-04:00,24903.25,2026-03-23 11:52:00-04:00,24725.75,LONG,-1,stop,181.75,79.5,177.5,False,-2.0113,2026-03-23,1,parquet,1.0,1,2026-03-23 10:02:00-04:00,LONG,2026-03-23T10:04:00,24609.25,2026-03-23T11:53:00,24433.0,-3525.0,Stop loss,2026-03-23 06:04:00-04:00,2026-03-23,14280.0,14280.0,294.0,292.75,True
2026-03-24 10:56:00-04:00,24612.25,2026-03-24 15:50:00-04:00,24514.25,LONG,-1,liquidation_1550,159.25,65.75,183.5,False,-1.0919,2026-03-24,1,parquet,-1.0,1,2026-03-24 10:56:00-04:00,LONG,2026-03-24T10:58:00,24319.25,2026-03-24T16:23:00,24409.25,1800.0,Profit target,2026-03-24 06:58:00-04:00,2026-03-24,14280.0,14280.0,293.0,105.0,False
2026-03-31 10:33:00-04:00,23872.75,2026-03-31 10:55:00-04:00,23676.5,LONG,-1,stop,196.25,7.75,196.25,False,-2.1074,2026-03-31,1,parquet,1.0,1,2026-03-31 10:33:00-04:00,LONG,2026-03-31T10:02:00,23571.0,2026-03-31T10:57:00,23381.5,-3790.0,Stop loss,2026-03-31 06:02:00-04:00,2026-03-31,16260.0,16260.0,301.75,295.0,True
2026-04-01 10:22:00-04:00,24497.0,2026-04-01 11:01:00-04:00,24563.25,LONG,1,target,73.25,70.75,151.5,False,1.0,2026-04-01,1,parquet,1.0,1,2026-04-01 10:22:00-04:00,LONG,2026-04-01T10:24:00,24203.75,2026-04-01T11:02:00,24270.5,1335.0,Profit target,2026-04-01 06:24:00-04:00,2026-04-01,14280.0,14280.0,293.25,292.75,True
2026-04-02 10:06:00-04:00,24237.25,2026-04-02 10:33:00-04:00,24316.12,LONG,1,target,63.5,85.75,230.25,False,1.0,2026-04-02,1,parquet,-1.0,1,2026-04-02 10:06:00-04:00,LONG,2026-04-02T10:02:00,23896.25,2026-04-02T10:22:00,23998.75,2050.0,Profit target,2026-04-02 06:02:00-04:00,2026-04-02,14640.0,14640.0,341.0,317.369999999999,True
2026-04-13 10:00:00-04:00,25615.75,2026-04-13 12:29:00-04:00,25677.75,LONG,1,target,77.5,73.5,150.0,False,1.0,2026-04-13,1,parquet,1.0,1,2026-04-13 10:00:00-04:00,LONG,2026-04-13T10:02:00,25322.5,2026-04-13T12:29:00,25369.25,935.0,Profit target,2026-04-13 06:02:00-04:00,2026-04-13,14280.0,14280.0,293.25,308.5,True
2026-04-14 10:13:00-04:00,26059.75,2026-04-14 10:35:00-04:00,26110.38,LONG,1,target,21.0,50.75,107.75,False,1.0,2026-04-14,1,parquet,1.0,1,2026-04-14 10:13:00-04:00,LONG,2026-04-14T10:15:00,25766.75,2026-04-14T10:56:00,25818.25,1030.0,Profit target,2026-04-14 06:15:00-04:00,2026-04-14,14280.0,14280.0,293.0,292.130000000001,True
2026-04-15 10:02:00-04:00,26365.75,2026-04-15 10:24:00-04:00,26410.0,LONG,1,target,18.0,57.25,90.0,False,1.0,2026-04-15,1,parquet,1.0,1,2026-04-15 10:02:00-04:00,LONG,2026-04-15T10:03:00,26068.0,2026-04-15T10:24:00,26109.0,820.0,Profit target,2026-04-15 06:03:00-04:00,2026-04-15,14340.0,14340.0,297.75,301.0,True
2026-04-20 10:40:00-04:00,27005.0,2026-04-20 10:51:00-04:00,26952.5,SHORT,1,target,18.0,101.0,112.0,False,1.0,2026-04-20,1,parquet,1.0,1,2026-04-20 10:40:00-04:00,SHORT,2026-04-20T10:42:00,26712.25,2026-04-20T10:52:00,26659.75,1050.0,Profit target,2026-04-20 06:42:00-04:00,2026-04-20,14280.0,14280.0,292.75,292.75,True
